county,gini
"Baldwin County, Alabama",0.4722
"Calhoun County, Alabama",0.4219
"Cullman County, Alabama",0.4438
"DeKalb County, Alabama",0.4639
"Elmore County, Alabama",0.462
"Etowah County, Alabama",0.4125
"Houston County, Alabama",0.4854
"Jefferson County, Alabama",0.495
"Lauderdale County, Alabama",0.4737
"Lee County, Alabama",0.4927
"Limestone County, Alabama",0.4502
"Madison County, Alabama",0.4711
"Marshall County, Alabama",0.482
"Mobile County, Alabama",0.4789
"Montgomery County, Alabama",0.4938
"Morgan County, Alabama",0.4573
"St. Clair County, Alabama",0.4079
"Shelby County, Alabama",0.4424
"Talladega County, Alabama",0.4726
"Tuscaloosa County, Alabama",0.4686
"Walker County, Alabama",0.4582
"Anchorage Municipality, Alaska",0.4525
"Fairbanks North Star Borough, Alaska",0.3956
"Matanuska-Susitna Borough, Alaska",0.3862
"Apache County, Arizona",0.5056
"Cochise County, Arizona",0.4506
"Coconino County, Arizona",0.483
"Maricopa County, Arizona",0.4716
"Mohave County, Arizona",0.4286
"Navajo County, Arizona",0.4682
"Pima County, Arizona",0.4707
"Pinal County, Arizona",0.4276
"Yavapai County, Arizona",0.4294
"Yuma County, Arizona",0.4379
"Benton County, Arkansas",0.4622
"Craighead County, Arkansas",0.4681
"Faulkner County, Arkansas",0.4606
"Garland County, Arkansas",0.5256
"Jefferson County, Arkansas",0.4805
"Lonoke County, Arkansas",0.3799
"Pulaski County, Arkansas",0.5146
"Saline County, Arkansas",0.3935
"Sebastian County, Arkansas",0.4972
"Washington County, Arkansas",0.4755
"White County, Arkansas",0.4775
"Alameda County, California",0.463
"Butte County, California",0.4666
"Contra Costa County, California",0.4709
"El Dorado County, California",0.445
"Fresno County, California",0.4711
"Humboldt County, California",0.4833
"Imperial County, California",0.4621
"Kern County, California",0.4609
"Kings County, California",0.4678
"Lake County, California",0.4417
"Los Angeles County, California",0.4992
"Madera County, California",0.4552
"Marin County, California",0.5315
"Mendocino County, California",0.4715
"Merced County, California",0.4763
"Monterey County, California",0.4704
"Napa County, California",0.5005
"Nevada County, California",0.4494
"Orange County, California",0.4703
"Placer County, California",0.441
"Riverside County, California",0.4492
"Sacramento County, California",0.4558
"San Bernardino County, California",0.4445
"San Diego County, California",0.4589
"San Francisco County, California",0.5208
"San Joaquin County, California",0.452
"San Luis Obispo County, California",0.4658
"San Mateo County, California",0.4859
"Santa Barbara County, California",0.4811
"Santa Clara County, California",0.4629
"Santa Cruz County, California",0.4833
"Shasta County, California",0.4584
"Solano County, California",0.425
"Sonoma County, California",0.4657
"Stanislaus County, California",0.4485
"Sutter County, California",0.4501
"Tulare County, California",0.4772
"Ventura County, California",0.4404
"Yolo County, California",0.4815
"Yuba County, California",0.4363
"Adams County, Colorado",0.4079
"Arapahoe County, Colorado",0.4633
"Boulder County, Colorado",0.4857
"Broomfield County, Colorado",0.4167
"Denver County, Colorado",0.4927
"Douglas County, Colorado",0.3975
"El Paso County, Colorado",0.4331
"Jefferson County, Colorado",0.4422
"Larimer County, Colorado",0.4469
"Mesa County, Colorado",0.4448
"Pueblo County, Colorado",0.4748
"Weld County, Colorado",0.3993
"Fairfield County, Connecticut",0.5404
"Hartford County, Connecticut",0.4684
"Litchfield County, Connecticut",0.4678
"Middlesex County, Connecticut",0.4271
"New Haven County, Connecticut",0.4617
"New London County, Connecticut",0.4446
"Tolland County, Connecticut",0.4376
"Windham County, Connecticut",0.3897
"Kent County, Delaware",0.4375
"New Castle County, Delaware",0.4543
"Sussex County, Delaware",0.446
"District of Columbia, District of Columbia",0.5354
"Alachua County, Florida",0.5026
"Bay County, Florida",0.4446
"Brevard County, Florida",0.4471
"Broward County, Florida",0.4788
"Charlotte County, Florida",0.461
"Citrus County, Florida",0.4638
"Clay County, Florida",0.4058
"Collier County, Florida",0.5259
"Columbia County, Florida",0.429
"Duval County, Florida",0.4765
"Escambia County, Florida",0.4206
"Flagler County, Florida",0.4312
"Hernando County, Florida",0.4243
"Highlands County, Florida",0.5118
"Hillsborough County, Florida",0.4737
"Indian River County, Florida",0.5246
"Lake County, Florida",0.4086
"Lee County, Florida",0.4776
"Leon County, Florida",0.4889
"Manatee County, Florida",0.4585
"Marion County, Florida",0.4422
"Martin County, Florida",0.506
"Miami-Dade County, Florida",0.5402
"Monroe County, Florida",0.505
"Nassau County, Florida",0.4645
"Okaloosa County, Florida",0.4268
"Orange County, Florida",0.4841
"Osceola County, Florida",0.4469
"Palm Beach County, Florida",0.5172
"Pasco County, Florida",0.449
"Pinellas County, Florida",0.4937
"Polk County, Florida",0.4325
"Putnam County, Florida",0.4787
"St. Johns County, Florida",0.4949
"St. Lucie County, Florida",0.4492
"Santa Rosa County, Florida",0.4218
"Sarasota County, Florida",0.4716
"Seminole County, Florida",0.4629
